"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"12V-IN";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";
"C1";"1000uF";"CPOL-EUB45181B";"B45181B";"POLARIZED CAPACITOR, European symbol";"";"";
"C2";"1000uF";"CPOL-EUB45181B";"B45181B";"POLARIZED CAPACITOR, European symbol";"";"";
"C3";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";
"C5";"0.1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";
"C6";"0.1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";
"GPIO";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";
"IC2";"78033AF";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";"";
"PROG";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";
"Q1";"FDD8870";"MOSFET-NCH-FDD8780";"DPAK";"N-channel MOSFETs";"TRANS-09984";"35A/25V/8.5mÎ©";
"R1";"6R8";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";
"R2";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";
"R3";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";
"R4";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R5";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R6";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R7";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R8";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"R9";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";
"RESET";" ";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-13065";"";
"THERMISTOR";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";
"U$1";"FUSE";"FUSE";"FUSE";"";"";"";
"U$2";"OMRON-G6DS";"OMRON-G6DS";"OMRON-G6DS-1A-H";"";"";"";
"U2";"";"ESP12ESMD";"ESP12E-SMD";"ESP12E Module";"";"";
"USB-3V3";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";
"X1";"AC-N";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";
"X2";"AC-L";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";
